# t [s]      T [GK]       rho[g/cm^3]   r [km]      Ye           Le [erg/s]  Lebar [erg/s] Te [MeV]  Tebar [MeV]
# Nr: 81314
5.530000e-01 4.323042e+00 6.413350e+06 3.611641e+03 1.922429e-01 6.9107e+52  6.4237e+52  3.2553e+00  4.6614e+00
5.540000e-01 4.287358e+00 6.216074e+06 3.648626e+03 1.922997e-01 6.8218e+52  6.5577e+52  3.2084e+00  4.5911e+00
5.550000e-01 4.226578e+00 6.002158e+06 3.685699e+03 1.922871e-01 6.7251e+52  6.9386e+52  3.2119e+00  4.4874e+00
5.560000e-01 4.188683e+00 5.839007e+06 3.722789e+03 1.924414e-01 6.5079e+52  6.6145e+52  3.2411e+00  4.5254e+00
5.570000e-01 4.149588e+00 5.662179e+06 3.759965e+03 1.923361e-01 6.1251e+52  6.3330e+52  3.1672e+00  4.4733e+00
5.580000e-01 4.087465e+00 5.497326e+06 3.797153e+03 1.924909e-01 6.1999e+52  6.5424e+52  3.1608e+00  4.4295e+00
5.590000e-01 4.069320e+00 5.372726e+06 3.834368e+03 1.924421e-01 6.2485e+52  6.7903e+52  3.1559e+00  4.3677e+00
5.600000e-01 4.001972e+00 5.214013e+06 3.871638e+03 1.924923e-01 6.1004e+52  6.5267e+52  3.1676e+00  4.4488e+00
5.610000e-01 3.964685e+00 5.083650e+06 3.908915e+03 1.925190e-01 6.0883e+52  6.8142e+52  3.1654e+00  4.4134e+00
5.620000e-01 3.934729e+00 4.970544e+06 3.946214e+03 1.924367e-01 6.1104e+52  6.7083e+52  3.1465e+00  4.4383e+00
5.630000e-01 3.874321e+00 4.845715e+06 3.983543e+03 1.925364e-01 6.2547e+52  6.4306e+52  3.1620e+00  4.4614e+00
5.640000e-01 3.852699e+00 4.714870e+06 4.020905e+03 1.923683e-01 6.2678e+52  6.1909e+52  3.1548e+00  4.4911e+00
5.650000e-01 3.811164e+00 4.660322e+06 4.058281e+03 1.924798e-01 6.7069e+52  6.9688e+52  3.1578e+00  4.4098e+00
5.660000e-01 3.770644e+00 4.577746e+06 4.095676e+03 1.924854e-01 7.2623e+52  7.7901e+52  3.1857e+00  4.3533e+00
5.670000e-01 3.764147e+00 4.487942e+06 4.133129e+03 1.922766e-01 7.7996e+52  8.1018e+52  3.2154e+00  4.3651e+00
5.680000e-01 3.748489e+00 4.526718e+06 4.170530e+03 1.925077e-01 8.1832e+52  8.3463e+52  3.2593e+00  4.3848e+00
5.690000e-01 3.722922e+00 4.471176e+06 4.207939e+03 1.923747e-01 8.3846e+52  8.3635e+52  3.3013e+00  4.4486e+00
5.700000e-01 3.756711e+00 4.493016e+06 4.245381e+03 1.923242e-01 8.2703e+52  8.4905e+52  3.3218e+00  4.4413e+00
5.710000e-01 3.786193e+00 4.574654e+06 4.282640e+03 1.925373e-01 8.0464e+52  8.6029e+52  3.3320e+00  4.3938e+00
5.720000e-01 3.786866e+00 4.543770e+06 4.319816e+03 1.922394e-01 8.0074e+52  8.2075e+52  3.3362e+00  4.4287e+00
5.730000e-01 3.846738e+00 4.657209e+06 4.356910e+03 1.923826e-01 8.0550e+52  7.8314e+52  3.3266e+00  4.4555e+00
5.740000e-01 3.869439e+00 4.747235e+06 4.393712e+03 1.926783e-01 8.1458e+52  8.2794e+52  3.3061e+00  4.4131e+00
5.750000e-01 3.865206e+00 4.727414e+06 4.430319e+03 1.924365e-01 8.1996e+52  8.6447e+52  3.2991e+00  4.4292e+00
5.760000e-01 3.891807e+00 4.895458e+06 4.466764e+03 1.927929e-01 8.2774e+52  8.7847e+52  3.3124e+00  4.4723e+00
5.770000e-01 3.908470e+00 5.021762e+06 4.502932e+03 1.930970e-01 8.1812e+52  8.6078e+52  3.3331e+00  4.4953e+00
5.780000e-01 3.920708e+00 5.048025e+06 4.538798e+03 1.929224e-01 8.1135e+52  8.2978e+52  3.3405e+00  4.4717e+00
5.790000e-01 3.948602e+00 5.255215e+06 4.574481e+03 1.931648e-01 8.1742e+52  8.1952e+52  3.3181e+00  4.4339e+00
5.800000e-01 3.977577e+00 5.437638e+06 4.610011e+03 1.934482e-01 8.3609e+52  8.3098e+52  3.2913e+00  4.4044e+00
5.810000e-01 4.008777e+00 5.514222e+06 4.645290e+03 1.933494e-01 9.0073e+52  8.3586e+52  3.2850e+00  4.4723e+00
5.820000e-01 4.026577e+00 5.698009e+06 4.680345e+03 1.934673e-01 9.8035e+52  9.5010e+52  3.3063e+00  4.3763e+00
5.830000e-01 4.065318e+00 5.913135e+06 4.715262e+03 1.937176e-01 1.0077e+53  9.6919e+52  3.3174e+00  4.4193e+00
